"","ubigeo_inei","UbigeoMINSA","Vac6Jun","Vac28Jul","Vac18Oct","Poblacion18","departamento","provincia","distrito","SaludIDH","EducacionSIDHE","IngresoIDHE","IDH2019","IVIA","Pobreza","PobrezaExtrema","Avance1","Avance2","Avance3","IDHCategorias","PobrezaCategorias","IVIAnum","IVIACategorias"
"1","010101",1,1545,4876,16796,20886,"AMAZONAS","CHACHAPOYAS","CHACHAPOYAS",72.1926744669432,79.5627049977323,0.496604561504053,0.642360593890392,"0.27965682744979897",9.034625,1.439875,7.3972996265441,23.3457818634492,80.4175045485014,"Q4","Q5",0.279656827449799,"Q5"
"2","010102",2,8,85,230,282,"AMAZONAS","CHACHAPOYAS","ASUNCION",71.3645527466904,71.0068315037732,0.213429060333896,0.423031925028296,"0.55854880809783902",36.519949,15.68075,2.83687943262411,30.1418439716312,81.5602836879433,"Q3","Q3",0.558548808097839,"Q3"
"3","010103",3,11,99,396,985,"AMAZONAS","CHACHAPOYAS","BALSAS",68.5944049111095,32.7723837709723,0.154166753359833,0.315308421322158,"0.64674949645996105",45.732962,15.42712,1.11675126903553,10.0507614213198,40.2030456852792,"Q2","Q2",0.646749496459961,"Q2"
"4","010104",4,12,106,400,594,"AMAZONAS","CHACHAPOYAS","CHETO",77.5282524573277,52.2109055174803,0.14753076636922,0.345745781567757,"0.53084605932235696",39.169782,23.67841,2.02020202020202,17.8451178451178,67.3400673400673,"Q2","Q3",0.530846059322357,"Q3"
"5","010105",5,22,151,587,843,"AMAZONAS","CHACHAPOYAS","CHILIQUIN",72.4601514868895,36.8689317423438,0.118024556139973,0.275037798834594,"0.70685422420501698",53.045662,36.39537,2.60972716488731,17.9122182680902,69.632265717675,"Q1","Q1",0.706854224205017,"Q1"
"6","010106",6,25,204,654,1554,"AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA",67.0141614304692,30.4314992159028,0.0942748490835442,0.269269728632059,"0.69913220405578602",51.607832,43.78883,1.60875160875161,13.1274131274131,42.0849420849421,"Q1","Q1",0.699132204055786,"Q1"
"7","010107",7,8,70,255,452,"AMAZONAS","CHACHAPOYAS","GRANADA",66.1818356426764,25.7093700272282,0.296878586767136,0.358001458425031,"0.61703062057495095",43.865957,5.943345,1.76991150442478,15.4867256637168,56.4159292035398,"Q2","Q2",0.617030620574951,"Q2"
"8","010108",8,5,79,292,431,"AMAZONAS","CHACHAPOYAS","HUANCAS",73.0625982384271,65.3585608159731,0.199106810980066,0.414755647270218,"0.479354858398438",31.977312,12.50203,1.16009280742459,18.3294663573086,67.7494199535963,"Q3","Q3",0.479354858398438,"Q4"
"9","010109",9,82,478,2230,4020,"AMAZONAS","CHACHAPOYAS","LA JALCA",73.0945019998728,42.6629443427367,0.10982340805486,0.295184437819084,"0.63679021596908603",47.947723,28.35085,2.03980099502488,11.8905472636816,55.4726368159204,"Q1","Q2",0.636790215969086,"Q2"
"10","010110",10,104,489,1426,2652,"AMAZONAS","CHACHAPOYAS","LEIMEBAMBA",70.2994794794931,39.9894069118723,0.235640260011542,0.398950920974067,"0.440641820430756",25.741684,15.19174,3.92156862745098,18.4389140271493,53.7707390648567,"Q3","Q4",0.440641820430756,"Q4"
"11","010111",11,12,125,624,896,"AMAZONAS","CHACHAPOYAS","LEVANTO",76.452349323518,39.6317199090827,0.155425648357609,0.324295307546424,"0.54455816745758101",41.081444,24.37787,1.33928571428571,13.9508928571429,69.6428571428571,"Q2","Q2",0.544558167457581,"Q3"
"12","010112",12,24,169,515,740,"AMAZONAS","CHACHAPOYAS","MAGDALENA",71.6224137748989,53.2551236278299,0.330041537608093,0.473769772128404,"0.42932486534118702",30.634088,20.61026,3.24324324324324,22.8378378378378,69.5945945945946,"Q3","Q3",0.429324865341187,"Q4"
"13","010113",13,30,203,563,817,"AMAZONAS","CHACHAPOYAS","MARISCAL CASTILLA",69.2951089801702,50.2632627498619,0.291001259163303,0.446101217220829,"0.43978720903396601",39.230882,18.90431,3.67197062423501,24.8470012239902,68.9106487148103,"Q3","Q2",0.439787209033966,"Q4"
"14","010114",14,63,354,1214,1925,"AMAZONAS","CHACHAPOYAS","MOLINOPAMPA",70.2756635847701,53.6382540136416,0.20074977415689,0.380907159068978,"0.53900110721588101",35.654304,25.45505,3.27272727272727,18.3896103896104,63.0649350649351,"Q2","Q3",0.539001107215881,"Q3"
"15","010115",15,22,151,467,586,"AMAZONAS","CHACHAPOYAS","MONTEVIDEO",71.2594914138537,42.6040989022639,0.28505571662999,0.447630676188927,"0.43862479925155701",38.644489,10.08896,3.7542662116041,25.7679180887372,79.6928327645051,"Q3","Q3",0.438624799251557,"Q4"
"16","010116",16,10,82,294,375,"AMAZONAS","CHACHAPOYAS","OLLEROS",71.9383295919533,53.2551236278299,0.162635055562198,0.364667298382429,"0.58710867166519198",47.9082,2.628461,2.66666666666667,21.8666666666667,78.4,"Q2","Q2",0.587108671665192,"Q3"
"17","010117",17,24,177,636,845,"AMAZONAS","CHACHAPOYAS","QUINJALCA",73.3224382929002,52.0716764361004,0.186604808482859,0.341954115321283,"0.68715012073516801",47.119202,19.34588,2.84023668639053,20.9467455621302,75.2662721893491,"Q2","Q2",0.687150120735168,"Q1"
"18","010118",18,16,100,224,291,"AMAZONAS","CHACHAPOYAS","SAN FRANCISCO DE DAGUAS",71.22268398592,55.5705637855616,0.323025892855545,0.489705575826164,"0.39703351259231601",29.704094,7.683372,5.49828178694158,34.3642611683849,76.9759450171821,"Q3","Q3",0.397033512592316,"Q4"
